global_step mean_loss accuracy
1562 1.830918 0.31911057
3125 1.74293 0.3497596
4688 1.6963611 0.3585737
6251 1.6060995 0.40214342
7814 1.6181848 0.39683494
9377 1.5889633 0.4054487
10940 1.5124367 0.4448117
12503 1.4635979 0.4594351
14066 1.4256022 0.4760617
15629 1.5354835 0.44951922
17192 1.3936378 0.4888822
18755 1.3648902 0.50020033
20318 1.3562443 0.49188703
21881 1.3198124 0.51542467
23444 1.3284332 0.5119191
25007 1.3075927 0.5239383
26570 1.4702328 0.4775641
28133 1.2737389 0.53816104
29696 1.2864248 0.5327524
31259 1.249218 0.5525841
32822 1.277309 0.5345553
