global_step mean_loss accuracy
1562 2.0514565 0.20813301
3125 1.7939267 0.3140024
4688 1.7177331 0.33894232
6251 1.6540933 0.35687098
7814 1.6403042 0.37209535
9377 1.574367 0.4135617
10940 1.5690717 0.4075521
12503 1.505591 0.44040465
14066 1.4943368 0.4448117
15629 1.5388561 0.42598158
17192 1.4786084 0.45582932
18755 1.5216268 0.42217547
20318 1.4241644 0.48127005
21881 1.4924946 0.45973557
23444 1.4355875 0.47145432
25007 1.4142927 0.48697916
26570 1.385868 0.48747995
28133 1.3863261 0.4913862
29696 1.3822472 0.49539262
31259 1.4172963 0.47636217
32822 1.3989217 0.48677886
