global_step mean_loss accuracy conv1/kernel_gradient_mean_norm res2_0_branch2/kernel_gradient_mean_norm res2_1_branch2/kernel_gradient_mean_norm res2_2_branch2/kernel_gradient_mean_norm res2_3_branch2/kernel_gradient_mean_norm res2_4_branch2/kernel_gradient_mean_norm res2_5_branch2/kernel_gradient_mean_norm res2_6_branch2/kernel_gradient_mean_norm res2_7_branch2/kernel_gradient_mean_norm res2_8_branch2/kernel_gradient_mean_norm res2_9_branch2/kernel_gradient_mean_norm res2_10_branch2/kernel_gradient_mean_norm res2_11_branch2/kernel_gradient_mean_norm res2_12_branch2/kernel_gradient_mean_norm res2_13_branch2/kernel_gradient_mean_norm res2_14_branch2/kernel_gradient_mean_norm res2_15_branch2/kernel_gradient_mean_norm res2_16_branch2/kernel_gradient_mean_norm res2_17_branch2/kernel_gradient_mean_norm res2_18_branch2/kernel_gradient_mean_norm res2_19_branch2/kernel_gradient_mean_norm res2_20_branch2/kernel_gradient_mean_norm res2_21_branch2/kernel_gradient_mean_norm res2_22_branch2/kernel_gradient_mean_norm res2_23_branch2/kernel_gradient_mean_norm res2_24_branch2/kernel_gradient_mean_norm res2_25_branch2/kernel_gradient_mean_norm res2_26_branch2/kernel_gradient_mean_norm res2_27_branch2/kernel_gradient_mean_norm res2_28_branch2/kernel_gradient_mean_norm res2_29_branch2/kernel_gradient_mean_norm res2_30_branch2/kernel_gradient_mean_norm res2_31_branch2/kernel_gradient_mean_norm res2_32_branch2/kernel_gradient_mean_norm res2_33_branch2/kernel_gradient_mean_norm res2_34_branch2/kernel_gradient_mean_norm res2_35_branch2/kernel_gradient_mean_norm res2_36_branch2/kernel_gradient_mean_norm res2_37_branch2/kernel_gradient_mean_norm res2_38_branch2/kernel_gradient_mean_norm res2_39_branch2/kernel_gradient_mean_norm res2_40_branch2/kernel_gradient_mean_norm res2_41_branch2/kernel_gradient_mean_norm res2_42_branch2/kernel_gradient_mean_norm res2_43_branch2/kernel_gradient_mean_norm res2_44_branch2/kernel_gradient_mean_norm res2_45_branch2/kernel_gradient_mean_norm res2_46_branch2/kernel_gradient_mean_norm res2_47_branch2/kernel_gradient_mean_norm res2_48_branch2/kernel_gradient_mean_norm res2_49_branch2/kernel_gradient_mean_norm res2_50_branch2/kernel_gradient_mean_norm res2_51_branch2/kernel_gradient_mean_norm res2_52_branch2/kernel_gradient_mean_norm res2_53_branch2/kernel_gradient_mean_norm res2_54_branch2/kernel_gradient_mean_norm res2_55_branch2/kernel_gradient_mean_norm res2_56_branch2/kernel_gradient_mean_norm res2_57_branch2/kernel_gradient_mean_norm res2_58_branch2/kernel_gradient_mean_norm res2_59_branch2/kernel_gradient_mean_norm res2_60_branch2/kernel_gradient_mean_norm res2_61_branch2/kernel_gradient_mean_norm res2_62_branch2/kernel_gradient_mean_norm res2_63_branch2/kernel_gradient_mean_norm
0 13.8472 0.113087 0.0070703183 0.0004176354 0.00035226904 0.00039775058 0.00068785215 0.0005713528 0.0008594685 0.00089090463 0.00038078325 0.0007061575 0.00020707451 0.00056948 0.0005009288 0.0010553697 0.00078291894 0.00074551516 0.00043371823 0.00046601432 0.0009327515 0.0009771371 0.0010144629 0.00089210644 0.0013866 0.0015454056 0.0007211038 0.0016074522 0.0017665842 0.000775812 0.0019380245 0.0022334347 0.0026789564 0.0020185546 0.0027379177 0.0022522958 0.0023998423 0.0039807134 0.00423667 0.0039227083 0.0045996555 0.00246459 0.004958227 0.004507446 0.0029699423 0.004319779 0.00495193 0.0072612483 0.004432513 0.009849216 0.0066347234 0.0099472655 0.0064742602 0.010284297 0.007104239 0.008744292 0.0062649394 0.008518434 0.012067642 0.012910514 0.0053716814 0.016167916 0.017849993 0.011761528 0.017395152 0.021325588 0.02548012
10 13.347788 0.11875 0.0061179833 0.000118506956 0.0002578225 0.0001367085 0.00038153623 0.0002398707 0.0003465555 0.00040887838 0.00019920342 0.00033072723 5.4064953e-05 0.00020719036 0.00019884254 0.00047160411 0.00032311596 0.00035956842 0.0001792289 0.00018945159 0.00015326712 0.00042674976 0.00032077226 0.00047924204 0.00047971148 0.0004890285 0.00027765046 0.00048138393 0.0005615605 0.0003839663 0.00047356955 0.00054880074 0.00062549586 0.00061996264 0.0006640817 0.00047388606 0.0006692511 0.0009748293 0.0010755219 0.00077554176 0.0009661346 0.0006031198 0.0009490887 0.00087994226 0.00044605628 0.0010062006 0.0010372734 0.0015104789 0.0010231873 0.002055607 0.0010945124 0.002244755 0.0010056552 0.0022952054 0.0014196757 0.0013696402 0.0012105909 0.002062482 0.0029939457 0.0016775797 0.00059671915 0.003926761 0.0043165805 0.0024193297 0.004858877 0.0060546123 0.005984469
20 12.947713 0.121875 0.008654182 0.00012347239 0.00043377743 0.00022286469 0.00016790853 4.659182e-05 0.00020214875 0.00018334037 0.00019965234 0.00028462725 7.860797e-05 0.00031712028 0.0002563873 0.00040872992 0.0001117227 0.0004969898 7.657955e-05 0.00031745026 0.00016794441 0.0002495198 0.00024203397 0.00055863854 0.0003963105 0.00064258376 0.00052765297 0.00067109923 0.00014574137 0.00060713926 0.0003562425 0.00071030663 0.00070701656 0.00015219906 0.000567005 0.000441668 9.5615804e-05 0.0007802307 0.0006188565 0.0007032523 0.0008478944 0.00019133375 0.000701291 0.00069538393 0.0007670885 0.0008744174 0.0004461863 0.0006836914 0.00044468956 0.0011566927 0.0011057237 0.0015367793 0.0006629725 0.0015003757 0.0012433003 0.0017843156 0.0016295785 0.001006053 0.001057872 0.0023715252 0.0023126013 0.0016837696 0.0020363491 0.0018983278 0.0022315946 0.0044324775 0.0031747285
30 12.56464 0.11145833 0.02585251 0.00029264245 0.00069857464 0.00056129595 0.00036908232 0.00013715585 0.00036142403 0.0002927273 0.00031648387 0.0006026148 0.00012520378 0.00095753727 0.00042410436 0.0006254584 0.0002934834 0.0005866449 0.00019467491 0.0009384922 0.00026231233 0.00038306913 0.0006218715 0.0009703248 0.0010269077 0.001024428 0.0005199402 0.0013185363 0.00032093018 0.0010364404 0.0011345616 0.0013697516 0.001493472 0.0004627435 0.0011074687 0.0010130982 0.0005515299 0.00084255385 0.0013248958 0.0011637617 0.0014346676 0.0009877589 0.0019829364 0.00168718 0.0020264331 0.0013729435 0.0015952328 0.0012426387 0.0015500862 0.00209189 0.0026946205 0.0018060441 0.0021089616 0.0022960817 0.002134152 0.0025996205 0.0023396276 0.00268124 0.0018299365 0.0029350296 0.0020052309 0.0033130476 0.0037114327 0.003035915 0.004071433 0.0053371107 0.0038644026
40 11.468159 0.10859375 0.031020476 0.00011016493 0.0002918314 0.00012881219 0.0007894274 0.00021014294 0.00026344013 0.00037250662 8.85977e-05 0.0002284221 8.130376e-05 0.00026200264 0.00014066164 0.0003908553 0.00018420866 0.00018436724 0.00017505263 0.00023154943 0.00014990648 0.0004923642 0.00046565794 0.0010074901 0.0006028615 0.00025368383 0.0004320102 0.0006818888 0.00059994805 0.0007779905 0.0003684074 0.0010644087 0.00058133184 0.00037295197 0.00041287296 0.00042860844 0.0010113005 0.0009968919 0.0010636006 0.0009285825 0.0011161364 0.0005466257 0.0012308441 0.0012765451 0.0007841 0.0008469466 0.00087986834 0.0012780373 0.00095719326 0.0018282604 0.0010809023 0.0012265668 0.0009427526 0.0016253146 0.0011591782 0.0012418187 0.0007002071 0.0009607654 0.0019259109 0.0011351008 0.00054562284 0.0023511373 0.0023433506 0.0007838591 0.0029101847 0.0031551903 0.003172892
50 10.441357 0.105625 0.022540819 9.046679e-05 0.00016014044 0.00024302876 0.00036949274 8.305209e-05 9.1829635e-05 9.656543e-05 3.628373e-05 0.00014408349 0.00010868917 0.0001830911 8.970589e-05 0.00010023217 9.765756e-05 7.763568e-05 4.8976377e-05 0.00012400746 0.000146683 0.00023351925 0.00015975768 0.00044499704 0.00038631205 0.00021720641 0.00013191249 0.00032444583 0.00020229767 0.00029040253 0.0002604099 0.00068050757 0.00023004734 0.00012209953 0.0003542771 0.00034983692 0.00045842165 0.00034061182 0.0005856999 0.00044977252 0.00074446684 0.00023620203 0.0008133049 0.00081259635 0.00054706616 0.0005482639 0.0003263139 0.0005640496 0.0006564401 0.0011683097 0.00116406 0.00044116125 0.0010928673 0.00060064264 0.000752515 0.0007414994 0.0004977586 0.00093312055 0.0007916552 0.00069443026 0.00027830113 0.0013243826 0.0011198284 0.0010092069 0.0005175068 0.0013690452 0.0013377672
60 9.266144 0.1109375 0.014315124 4.237703e-05 6.437276e-05 6.717303e-05 0.00011894122 5.1611292e-05 5.296883e-05 6.7727335e-05 3.0872805e-05 4.5742014e-05 2.0963764e-05 7.082686e-05 3.5556168e-05 5.7400102e-05 4.805865e-05 4.8440186e-05 2.5662735e-05 5.5936223e-05 3.8225262e-05 5.3439067e-05 3.4485205e-05 0.00013264311 0.00011613875 8.4131105e-05 7.586459e-05 0.00010061489 6.895724e-05 0.00014659944 0.0001104802 0.0002820264 0.0001349931 5.6082466e-05 0.00013766151 0.00016048907 0.00017454191 0.00011516946 0.00018856095 0.00018739064 0.0003522887 9.252886e-05 0.00022931001 0.00028259296 0.00013500349 0.00025219913 0.00014682976 0.00011776409 0.000358321 0.00048936397 0.00046360068 0.00016145564 0.00027482703 0.00024754056 0.0003604297 0.0004012571 0.00020505674 0.00030434475 0.00029891863 0.00022364335 0.00015019762 0.0005358879 0.0004472298 0.0004925959 0.0003641235 0.00071548886 0.00067503564
70 8.330643 0.108482145 0.008122487 2.4278777e-05 2.2033792e-05 3.046752e-05 3.486206e-05 2.15285e-05 2.490065e-05 2.644694e-05 2.244236e-05 2.4446404e-05 1.4908266e-05 3.8748192e-05 2.7835744e-05 1.4471437e-05 1.9289617e-05 1.7705222e-05 1.27491385e-05 3.1695196e-05 2.0918867e-05 1.601722e-05 1.3776067e-05 2.4995905e-05 5.234908e-05 3.686812e-05 3.1450243e-05 4.165947e-05 2.5759628e-05 4.1309064e-05 5.068915e-05 8.330875e-05 5.1019684e-05 1.5533786e-05 6.3083346e-05 7.719777e-05 3.685505e-05 2.786937e-05 6.382657e-05 6.44192e-05 0.000105967396 3.0138672e-05 7.801147e-05 0.00011021943 4.9764563e-05 0.00010285322 6.902755e-05 3.1826563e-05 0.00010142287 0.00015562432 0.0001769316 4.3288605e-05 0.00010686659 5.732084e-05 0.00011669266 0.00014711078 0.00012907539 0.0001816659 5.4574823e-05 0.00016071605 0.00010216709 0.00022585597 0.00016940878 0.0002688043 0.0002641784 0.00023639035 0.00038762038
80 7.5914116 0.11289062 0.006132127 2.3149709e-05 2.8185992e-05 3.828957e-05 3.680099e-05 2.2545175e-05 4.013501e-05 2.6068808e-05 1.7845618e-05 1.7560036e-05 1.0961133e-05 1.9327541e-05 2.2199925e-05 5.0591923e-05 3.2090895e-05 2.4328361e-05 1.3593014e-05 2.0771662e-05 1.7190876e-05 3.6961694e-05 1.1950312e-05 5.1615756e-05 2.3437424e-05 3.960969e-05 3.3569693e-05 3.1532505e-05 3.1229833e-05 8.455106e-05 6.098416e-05 9.2115646e-05 9.883851e-05 1.798721e-05 6.4772765e-05 5.309413e-05 3.3503286e-05 5.7568846e-05 6.471599e-05 8.042134e-05 9.0217334e-05 2.938694e-05 5.2289302e-05 6.644159e-05 3.0677813e-05 5.763704e-05 6.211095e-05 2.2942631e-05 9.70886e-05 0.00014250555 0.00011356232 8.007799e-05 9.452995e-05 9.756225e-05 0.000106015 0.00010712598 9.293142e-05 9.128172e-05 8.8247405e-05 0.000117218566 7.473573e-05 0.0001565597 0.00018234007 0.00019940671 0.00015193781 0.00024919503 0.00022799964
90 7.0161676 0.11180556 0.0013946278 2.3859704e-05 1.8268742e-05 2.6114436e-05 2.2770424e-05 1.30666085e-05 2.041703e-05 2.2228853e-05 1.9335677e-05 1.8607148e-05 1.16808e-05 1.5140297e-05 1.9873154e-05 1.7630533e-05 1.3001043e-05 1.6498334e-05 7.982061e-06 1.3468568e-05 9.104095e-06 1.936309e-05 9.863512e-06 2.5748152e-05 3.2219676e-05 1.6780643e-05 1.09680395e-05 1.6731565e-05 9.755772e-06 1.29175105e-05 2.2125267e-05 5.371634e-05 2.5166366e-05 1.2115667e-05 2.510139e-05 3.6702917e-05 2.9789104e-05 2.0344463e-05 3.0020305e-05 3.2374966e-05 6.234576e-05 1.558462e-05 3.0283109e-05 4.9409206e-05 1.697778e-05 4.044635e-05 2.7263415e-05 2.1076901e-05 6.264017e-05 7.425514e-05 7.471572e-05 7.337426e-05 7.561824e-05 3.7884853e-05 5.7856534e-05 4.3802967e-05 4.60401e-05 6.177122e-05 5.4340286e-05 4.4391305e-05 2.5354264e-05 7.336899e-05 0.00014482881 0.00012253011 8.1211656e-05 0.00011814274 0.00017151942
