global_step mean_loss accuracy
1562 1.7295779 0.35456732
3125 1.6294949 0.37429887
4688 1.6019475 0.40765223
6251 1.4520022 0.47295672
7814 1.4615285 0.45072114
9377 1.3724239 0.50190306
10940 1.3422483 0.5171274
12503 1.3272578 0.51472354
14066 1.3536654 0.5145232
15629 1.2501025 0.55128205
17192 1.3293769 0.52844554
18755 1.289444 0.5360577
20318 1.2242074 0.5636018
21881 1.2047547 0.57111377
23444 1.1775087 0.5859375
25007 1.1842622 0.56750804
26570 1.1360052 0.5949519
28133 1.1570301 0.57992786
29696 1.160156 0.5834335
31259 1.1149548 0.6046675
32822 1.174293 0.58453524
