global_step mean_loss accuracy conv1/kernel_gradient_mean_norm res2_0_branch2/kernel_gradient_mean_norm res2_1_branch2/kernel_gradient_mean_norm res2_2_branch2/kernel_gradient_mean_norm res2_3_branch2/kernel_gradient_mean_norm res2_4_branch2/kernel_gradient_mean_norm res2_5_branch2/kernel_gradient_mean_norm res2_6_branch2/kernel_gradient_mean_norm res2_7_branch2/kernel_gradient_mean_norm res2_8_branch2/kernel_gradient_mean_norm res2_9_branch2/kernel_gradient_mean_norm res2_10_branch2/kernel_gradient_mean_norm res2_11_branch2/kernel_gradient_mean_norm res2_12_branch2/kernel_gradient_mean_norm res2_13_branch2/kernel_gradient_mean_norm res2_14_branch2/kernel_gradient_mean_norm res2_15_branch2/kernel_gradient_mean_norm res2_16_branch2/kernel_gradient_mean_norm res2_17_branch2/kernel_gradient_mean_norm res2_18_branch2/kernel_gradient_mean_norm res2_19_branch2/kernel_gradient_mean_norm res2_20_branch2/kernel_gradient_mean_norm res2_21_branch2/kernel_gradient_mean_norm res2_22_branch2/kernel_gradient_mean_norm res2_23_branch2/kernel_gradient_mean_norm res2_24_branch2/kernel_gradient_mean_norm res2_25_branch2/kernel_gradient_mean_norm res2_26_branch2/kernel_gradient_mean_norm res2_27_branch2/kernel_gradient_mean_norm res2_28_branch2/kernel_gradient_mean_norm res2_29_branch2/kernel_gradient_mean_norm res2_30_branch2/kernel_gradient_mean_norm res2_31_branch2/kernel_gradient_mean_norm res2_32_branch2/kernel_gradient_mean_norm res2_33_branch2/kernel_gradient_mean_norm res2_34_branch2/kernel_gradient_mean_norm res2_35_branch2/kernel_gradient_mean_norm res2_36_branch2/kernel_gradient_mean_norm res2_37_branch2/kernel_gradient_mean_norm res2_38_branch2/kernel_gradient_mean_norm res2_39_branch2/kernel_gradient_mean_norm res2_40_branch2/kernel_gradient_mean_norm res2_41_branch2/kernel_gradient_mean_norm res2_42_branch2/kernel_gradient_mean_norm res2_43_branch2/kernel_gradient_mean_norm res2_44_branch2/kernel_gradient_mean_norm res2_45_branch2/kernel_gradient_mean_norm res2_46_branch2/kernel_gradient_mean_norm res2_47_branch2/kernel_gradient_mean_norm res2_48_branch2/kernel_gradient_mean_norm res2_49_branch2/kernel_gradient_mean_norm res2_50_branch2/kernel_gradient_mean_norm res2_51_branch2/kernel_gradient_mean_norm res2_52_branch2/kernel_gradient_mean_norm res2_53_branch2/kernel_gradient_mean_norm res2_54_branch2/kernel_gradient_mean_norm res2_55_branch2/kernel_gradient_mean_norm res2_56_branch2/kernel_gradient_mean_norm res2_57_branch2/kernel_gradient_mean_norm res2_58_branch2/kernel_gradient_mean_norm res2_59_branch2/kernel_gradient_mean_norm res2_60_branch2/kernel_gradient_mean_norm res2_61_branch2/kernel_gradient_mean_norm res2_62_branch2/kernel_gradient_mean_norm res2_63_branch2/kernel_gradient_mean_norm
0 0.0 0.0 0.0021323578 1.0286582e-05 2.493114e-05 1.4097795e-05 1.8671193e-05 1.7565597e-05 8.0154905e-06 1.0779603e-05 1.1070282e-05 7.648842e-06 1.0157081e-05 9.705242e-06 1.4217044e-05 4.5978063e-06 7.94265e-06 8.963052e-06 8.377335e-06 1.262944e-05 9.124027e-06 1.4228962e-05 1.3052071e-05 1.0356472e-05 2.0872867e-05 2.0010519e-05 1.027028e-05 1.032172e-05 2.527272e-05 1.5914595e-05 2.7810185e-05 1.922255e-05 3.4391664e-06 6.301007e-06 6.884403e-06 6.486874e-06 1.1938415e-05 1.9467525e-05 5.7832826e-06 1.0270019e-05 2.5542618e-05 1.3813192e-05 1.4492576e-05 1.3263935e-05 1.679506e-05 1.6593827e-05 1.5916083e-05 1.2902039e-05 2.6075608e-05 2.1132759e-05 1.7899752e-05 3.000454e-05 2.551946e-05 2.8061975e-05 2.2660804e-05 3.7128822e-05 3.786349e-05 4.685983e-05 5.043941e-05 3.36371e-05 5.117006e-05 5.8420952e-05 4.5107474e-05 6.904662e-05 6.404063e-05 6.935073e-05 8.2442595e-05
10 2.3974457 0.115625 0.0010230796 1.0703237e-05 8.6824375e-06 6.699932e-06 5.4624093e-06 7.832563e-06 7.588295e-06 4.099426e-06 8.044356e-06 6.878347e-06 6.6030516e-06 5.824241e-06 1.0240013e-05 4.1696717e-06 5.262587e-06 5.1800316e-06 1.20786535e-05 9.21944e-06 7.663376e-06 5.9568983e-06 5.9545287e-06 4.637756e-06 6.829431e-06 6.7365895e-06 1.1937518e-05 4.417888e-06 1.1234454e-05 4.29878e-06 9.923665e-06 4.663609e-06 4.704846e-06 6.9667826e-06 3.6717147e-06 7.623711e-06 8.979381e-06 6.9914e-06 7.690483e-06 3.5498008e-06 1.103793e-05 1.2207911e-05 1.539349e-05 3.2588262e-06 7.97416e-06 5.176497e-06 1.0676905e-05 1.6111388e-06 4.659145e-06 1.3922718e-05 9.609352e-06 8.9858195e-06 8.836305e-06 1.2067922e-05 1.5568183e-05 1.6611506e-05 1.1008005e-05 1.16624415e-05 2.6241283e-05 1.5256213e-05 3.510814e-05 2.7495269e-05 2.5868714e-05 4.301635e-05 4.8988808e-05 4.2073592e-05 4.18833e-05
20 2.3698165 0.1125 0.00074419007 5.715235e-06 7.704343e-06 2.4565882e-06 8.247049e-06 6.23439e-06 3.6972096e-06 1.7424647e-06 2.2456327e-06 1.9929962e-06 3.266559e-06 7.4053105e-06 4.56814e-06 2.0324048e-06 8.2989845e-06 2.1276855e-06 3.0174378e-06 3.4291177e-06 3.6018469e-06 4.3683813e-06 5.353606e-06 1.3742123e-06 2.226948e-06 4.3020214e-06 3.294925e-06 7.2505704e-06 1.1014898e-05 4.0499044e-06 8.676453e-06 7.91416e-06 3.082207e-06 1.7766719e-06 2.2171582e-06 2.6533166e-06 7.586582e-06 4.113937e-06 7.730354e-06 1.6100394e-06 6.0059056e-06 4.370389e-06 3.1140216e-06 3.880571e-06 4.7821172e-06 5.2833952e-06 5.2926725e-06 6.5219e-06 1.0120393e-05 8.70547e-06 3.913268e-06 7.2959956e-06 6.847599e-06 4.564732e-06 9.296502e-06 7.7989225e-06 5.0198983e-06 1.30904855e-05 1.4014153e-05 1.7122597e-05 1.0531519e-05 1.1073942e-05 1.8306573e-05 2.6071322e-05 2.77102e-05 2.1657755e-05 4.7988957e-05
30 2.3509681 0.09791667 0.0006384199 5.2866744e-06 6.6018197e-06 3.6236497e-06 6.2741665e-06 1.1505076e-05 4.039358e-06 2.1304656e-06 3.310012e-06 2.8600473e-06 2.9528762e-06 3.0117865e-06 4.9984533e-06 4.1313815e-06 4.747833e-06 3.463534e-06 3.187061e-06 3.261142e-06 3.0894778e-06 3.7347302e-06 2.5146348e-06 2.2230868e-06 3.8177054e-06 1.2419698e-05 4.5713678e-06 1.6019465e-05 7.4086493e-06 3.7368275e-06 3.1255106e-06 2.6090631e-06 2.8299687e-06 1.1806857e-06 1.7629627e-06 4.762935e-06 6.632566e-06 2.947903e-06 7.801045e-06 2.0117743e-06 6.8830245e-06 5.750718e-06 5.2647606e-06 3.5963633e-06 5.0138065e-06 3.4462166e-06 4.546377e-06 4.8737634e-06 5.5434125e-06 4.970885e-06 4.3265536e-06 5.8889636e-06 7.704897e-06 5.1559155e-06 6.7606547e-06 1.0187367e-05 6.836498e-06 1.3648038e-05 1.8775498e-05 1.6019581e-05 9.858554e-06 1.4282913e-05 2.2413396e-05 2.6187026e-05 2.2924216e-05 1.594321e-05 2.8832632e-05
40 2.3297162 0.1 0.00063789554 6.241895e-06 6.912678e-06 3.37343e-06 5.663238e-06 5.9384934e-06 5.9403824e-06 2.0254354e-06 4.1793146e-06 2.9276125e-06 8.578462e-06 5.646682e-06 3.861462e-06 4.885524e-06 5.9258373e-06 3.583237e-06 3.5976643e-06 5.087963e-06 6.3985203e-06 2.58069e-06 3.0474723e-06 1.7476887e-06 2.490549e-06 5.8859673e-06 2.7386156e-06 6.761392e-06 1.2676774e-05 6.9444036e-06 3.177757e-06 8.30089e-06 3.6258907e-06 1.6069675e-06 2.1190995e-06 3.6839108e-06 5.3739614e-06 7.5921926e-06 7.5031617e-06 2.5975762e-06 6.826048e-06 6.281701e-06 8.52348e-06 2.6317296e-06 4.3941354e-06 4.049535e-06 5.196888e-06 1.0311994e-05 1.0092873e-05 1.1178671e-05 4.8454817e-06 1.1800423e-05 5.650812e-06 1.0238114e-05 1.2096003e-05 1.2547564e-05 1.099086e-05 1.06842235e-05 1.8909126e-05 1.7892798e-05 1.6418802e-05 1.4329211e-05 1.3104965e-05 2.3829427e-05 2.6053363e-05 2.4188803e-05 3.7116184e-05
50 2.323142 0.096875 0.0011084337 5.4807656e-06 7.184741e-06 5.90072e-06 7.4627e-06 9.24966e-06 6.999772e-06 5.04411e-06 3.978593e-06 7.1118316e-06 5.834047e-06 5.193617e-06 7.1945315e-06 4.9376567e-06 4.461132e-06 3.57654e-06 3.9583083e-06 7.3319115e-06 8.010108e-06 5.1820884e-06 5.112623e-06 2.865942e-06 2.1909486e-06 1.0069604e-05 3.0826288e-06 9.139403e-06 1.6695683e-05 8.070712e-06 7.2211164e-06 1.2162891e-05 5.808643e-06 2.3925572e-06 1.986393e-06 4.380177e-06 3.2454388e-06 9.0001395e-06 1.2138448e-05 3.2522732e-06 6.054811e-06 6.751126e-06 5.671022e-06 4.426e-06 5.6288486e-06 5.4324814e-06 6.1594096e-06 1.8314084e-05 1.873486e-05 2.2180253e-05 8.282904e-06 1.2557396e-05 9.565508e-06 1.3993737e-05 2.6669552e-05 1.1235812e-05 1.4538424e-05 9.4094885e-06 2.47763e-05 1.781351e-05 1.874144e-05 2.301004e-05 2.320914e-05 3.928921e-05 3.2186592e-05 5.109339e-05 7.481476e-05
60 2.3140528 0.096354164 0.00087324897 1.0473066e-05 9.623562e-06 6.367921e-06 7.095395e-06 4.441452e-06 7.4434197e-06 9.453548e-06 6.8083773e-06 4.697517e-06 7.8018675e-06 5.28617e-06 6.7823917e-06 5.7237035e-06 6.4237256e-06 6.329408e-06 5.955591e-06 5.2544433e-06 7.291985e-06 4.6987866e-06 4.407334e-06 4.3261407e-06 5.7232546e-06 6.0069233e-06 5.6824024e-06 8.558928e-06 1.5345206e-05 6.4128412e-06 5.712575e-06 5.489091e-06 9.493302e-06 2.7933272e-06 6.083405e-06 8.298901e-06 1.0151057e-05 6.594762e-06 1.1719515e-05 2.0836137e-06 1.6997214e-05 1.5233579e-05 1.1653761e-05 7.53602e-06 9.150756e-06 8.803032e-06 1.0201136e-05 8.9691475e-06 1.2091594e-05 1.3365995e-05 1.3654478e-05 9.153549e-06 1.9490826e-05 1.3282451e-05 2.141745e-05 8.6877e-06 1.3805431e-05 1.9183037e-05 2.6754964e-05 2.3963348e-05 2.7280059e-05 2.9946732e-05 3.093228e-05 4.445007e-05 5.5251243e-05 4.2657874e-05 7.932422e-05
70 2.3078144 0.10178571 0.00052448636 6.5858544e-06 4.700074e-06 4.449173e-06 5.4397237e-06 5.2216633e-06 4.293796e-06 4.0264867e-06 5.202303e-06 5.070683e-06 6.2497393e-06 3.7021703e-06 3.609945e-06 6.0582834e-06 3.9806982e-06 3.7403947e-06 5.8309543e-06 3.9744787e-06 6.5988384e-06 3.3861288e-06 4.9732353e-06 4.0610917e-06 2.9124014e-06 7.652507e-06 5.1047114e-06 6.7637943e-06 1.027413e-05 2.995259e-06 4.446199e-06 2.7098254e-06 3.2620978e-06 2.3872535e-06 4.5992974e-06 1.1168017e-05 6.6436573e-06 8.5579595e-06 1.3887981e-05 3.3790811e-06 8.378748e-06 4.1011667e-06 6.0579428e-06 8.1836815e-06 4.0443747e-06 6.0220164e-06 7.0553056e-06 8.562169e-06 7.805328e-06 1.040352e-05 9.757714e-06 7.0580104e-06 9.7390885e-06 9.658548e-06 1.8648778e-05 8.343832e-06 5.9282665e-06 4.811794e-06 3.062764e-05 1.3371682e-05 2.291827e-05 3.1586493e-05 3.0813877e-05 5.447877e-05 5.9116624e-05 5.7502784e-05 5.7311405e-05
80 2.3020654 0.11015625 0.0010874815 9.0332915e-06 1.2706498e-05 7.754945e-06 1.180944e-05 1.1679612e-05 8.4568865e-06 8.886575e-06 4.8014754e-06 5.6582294e-06 1.2034363e-05 1.1239229e-05 8.813743e-06 6.835386e-06 5.2533137e-06 5.922514e-06 4.6199852e-06 7.790411e-06 4.3531695e-06 5.021648e-06 7.3541805e-06 2.1726519e-06 6.871373e-06 1.4470678e-05 9.961809e-06 1.3327537e-05 1.2488108e-05 1.3248135e-05 8.787579e-06 5.4378875e-06 5.5077276e-06 5.548443e-06 1.1736855e-05 8.352069e-06 2.6205273e-06 3.1457712e-06 9.621734e-06 1.9424472e-06 6.995075e-06 9.468215e-06 1.29159325e-05 2.1692375e-05 3.326347e-06 1.0958197e-05 1.0136665e-05 7.98944e-06 1.30849685e-05 6.380945e-06 1.0250948e-05 2.5737363e-05 8.736576e-06 1.6638369e-05 1.19055085e-05 9.472022e-06 1.055817e-05 1.6206364e-05 1.5458198e-05 1.2687305e-05 1.6878712e-05 1.8654866e-05 2.4015284e-05 2.3838442e-05 3.095146e-05 2.3926697e-05 2.5206564e-05
90 2.2938511 0.11423611 0.0011750946 6.5493696e-06 1.0792896e-05 1.034613e-05 7.217801e-06 6.4524334e-06 6.988951e-06 5.3668123e-06 1.50134765e-05 5.742409e-06 3.6583826e-06 3.9435827e-06 3.0926506e-06 6.864284e-06 2.937367e-06 3.229225e-06 3.7851485e-06 4.15096e-06 6.1167375e-06 4.4261847e-06 3.0809388e-06 3.1409838e-06 4.2865718e-06 1.0678387e-05 7.000252e-06 8.069638e-06 9.304767e-06 6.774651e-06 5.451954e-06 7.1455565e-06 2.4053213e-06 1.0720319e-05 9.879795e-06 6.054122e-06 5.7809175e-06 4.1841927e-06 1.1325273e-05 2.2898741e-06 1.4773764e-05 1.0117014e-05 1.0756938e-05 5.7728053e-06 3.9900838e-06 2.3526683e-05 6.1147257e-06 8.116923e-06 2.4336196e-05 1.4452991e-05 1.6448834e-05 9.722084e-06 8.001832e-06 9.926782e-06 2.0178117e-05 9.3167955e-06 1.18417565e-05 8.056221e-06 2.6567952e-05 1.1670478e-05 2.0894544e-05 1.3013175e-05 2.9602534e-05 2.4526888e-05 3.874431e-05 2.9728502e-05 3.6546855e-05
